"Año";"Periodo";"Hombre";"Mujer"
"1993";"Año";"43,98";"20,77"
"1995";"Año";"43,5";"24,51"
"1997";"Año";"42,11";"24,77"
"2001";"Año";"39,21";"24,65"
"2003";"Año";"34,15";"22,39"
"2006";"Año";"31,56";"21,51"
"2011";"Año";"27,87";"20,22"
"2014";"Año";"27,57";"18,6"
"2017";"Año";"25,58";"18,76"
;;;
;;;
"Métrica":"Hombre"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Porcentaje de la población que consumen tabaco a diario"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Mujer"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Porcentaje de la población que consumen tabaco a diario"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/porcentaje-fumadores-habituales-sexos/bcd24c0f-f00c-4d8b-9960-d8111c646fd0/espana/106"
"Titulo":"Porcentaje de fumadores habituales, por sexos"
"Subtitulo":""
